sample_id	Trim1_R1_NoReads	Trim1_R1_NoBases	Trim1_R2_NoReads	Trim1_R2_NoBases	Trim2_R1_NoReads	Trim2_R1_NoBases	Trim2_R2_NoReads	Trim2_R2_NoBases
Mcapitata_ATHC_TP6_2555	25282961	3397485569	25282961	3396452903	25282766	3397462917	25282766	3394894919
Mcapitata_ATHC_TP7_1223	20765407	2882958650	20765407	2890182217	20765375	2882954803	20765375	2889084049
Mcapitata_ATHC_TP7_2860	18991450	2595394312	18991450	2602999279	18991427	2595391375	18991427	2602035441
Mcapitata_ATHC_TP7_2875	24089116	3382888173	24089116	3390871219	24089087	3382884083	24089087	3389767840
Mcapitata_ATHC_TP8_1260	18764747	2423878977	18764747	2449940791	18757573	2423000850	18757573	2434235100
Mcapitata_ATHC_TP8_2735	22745688	3050482964	22745688	3049860035	22745557	3050468870	22745557	3048460329
Mcapitata_ATHC_TP8_2753	22769882	3257732444	22769882	3255662608	22769722	3257711999	22769722	3254047988
Mcapitata_ATHC_TP9_1148	17594628	2273962702	17594628	2296152295	17589525	2273296100	17589525	2280830237
Mcapitata_ATHC_TP9_2862	19065565	2488031594	19065565	2509968960	19060390	2487359458	19060390	2495109130
Mcapitata_ATHC_TP9_2995	18353018	2527452960	18353018	2541063808	18347949	2526760369	18347949	2523145979
Mcapitata_HTAC_TP10_1315	22928946	3056543120	22928946	3056185197	22928808	3056528256	22928808	3054721440
Mcapitata_HTAC_TP10_1478	16300305	2096173200	16300305	2127846890	16293001	2095209013	16293001	2104063906
Mcapitata_HTAC_TP10_1754	16406115	2184737649	16406115	2213531770	16396574	2183488484	16396574	2186594541
Mcapitata_HTAC_TP11_1248	20345352	2734868267	20345352	2734010078	20345198	2734849287	20345198	2732590667
Mcapitata_HTAC_TP11_1562	19218042	2586907464	19218042	2586480769	19217904	2586891488	19217904	2585329030
Mcapitata_HTAC_TP11_2380	27891468	3738414810	27891468	3737748483	27891292	3738395887	27891292	3736058533
Mcapitata_HTAC_TP12_1632	22507205	3037029073	22507205	3036513492	22507078	3037014273	22507078	3035205308
Mcapitata_HTAC_TP12_1729	20167276	2702172393	20167276	2701775111	20167139	2702156483	20167139	2700571681
Mcapitata_HTAC_TP12_2007	19712265	2637797214	19712265	2637433494	19712138	2637784142	19712138	2636242595
Mcapitata_HTAC_TP1_1579	20771153	2828469847	20771153	2828007455	20770974	2828446511	20770974	2826732244
Mcapitata_HTAC_TP1_2153	24175684	3455798862	24175684	3453232549	24175531	3455777768	24175531	3451588983
Mcapitata_HTAC_TP1_2183	19286752	2613833709	19286752	2640920016	19278110	2612669716	19278110	2612910361
Mcapitata_HTAC_TP3_1289	21542642	2884932140	21542642	2884373133	21542514	2884917829	21542514	2883062637
Mcapitata_HTAC_TP3_1751	18762590	2521597324	18762590	2540804297	18758524	2521044791	18758524	2524772504
Mcapitata_HTAC_TP3_2021	23857543	3186943233	23857543	3186575644	23857364	3186923854	23857364	3185073897
Mcapitata_HTAC_TP4_1269	20641287	2769799689	20641287	2769543375	20641151	2769784095	20641151	2768251389
Mcapitata_HTAC_TP4_1481	20773490	2949461584	20773490	2947389945	20773377	2949446147	20773377	2945989533
Mcapitata_HTAC_TP4_2000	20585517	2792327223	20585517	2791500140	20585315	2792302861	20585315	2790195383
Mcapitata_HTAC_TP5_1321	24107970	3434794629	24107970	3432918762	24107846	3434778432	24107846	3431300773
Mcapitata_HTAC_TP5_1583	21661125	2918554990	21661125	2917550015	21661008	2918541799	21661008	2916284097
Mcapitata_HTAC_TP5_1997	20168412	2715154065	20168412	2714189351	20168236	2715136294	20168236	2712951116
Mcapitata_HTAC_TP6_1496	17241054	2311278069	17241054	2329264956	17236246	2310636012	17236246	2313188481
Mcapitata_HTAC_TP6_1588	17334499	2467091694	17334499	2465442743	17334394	2467077935	17334394	2464309855
Mcapitata_HTAC_TP6_1705	17025352	2310685962	17025352	2329947399	17020328	2310022912	17020328	2312701783
Mcapitata_HTAC_TP7_1278	15888464	2214594616	15888464	2221413644	15888445	2214592215	15888445	2220514151
Mcapitata_HTAC_TP7_1645	22233794	3142906430	22233794	3140904681	22233689	3142892611	22233689	3139501907
Mcapitata_HTAC_TP7_1722	22900097	3082515499	22900097	3081928767	22899976	3082500777	22899976	3080521782
Mcapitata_HTAC_TP8_1235	18012486	2423039591	18012486	2437774318	18006729	2422268317	18006729	2421751641
Mcapitata_HTAC_TP8_2386	17448370	2214588391	17448370	2245049362	17440716	2213605138	17440716	2223731330
Mcapitata_HTAC_TP8_2410	25060915	3357622214	25060915	3356634707	25060704	3357597924	25060704	3354977284
Mcapitata_HTAC_TP9_1306	17352809	2218157594	17352809	2242115871	17348199	2217553214	17348199	2226522437
Mcapitata_HTAC_TP9_1467	20711988	2946593329	20711988	2944435332	20711864	2946576451	20711864	2943106845
Mcapitata_HTAC_TP9_2412	16191553	2198292286	16191553	2220130199	16185879	2197522732	16185879	2198104914
Mcapitata_HTHC_TP10_1074	19716761	2556754539	19716761	2586623198	19711176	2556014770	19711176	2568338113
Mcapitata_HTHC_TP10_1332	27968375	3784228950	27968375	3783002713	27968156	3784201918	27968156	3781350901
Mcapitata_HTHC_TP10_1689	19227035	2731658564	19227035	2729975429	19226931	2731644060	19226931	2728698471
Mcapitata_HTHC_TP11_1178	20281700	2736289152	20281700	2735745648	20281585	2736275690	20281585	2734544148
