Treatment,N,Temperature,sd,se,ci
ATAC,23021,27.101212675383344,0.8288965804772653,0.005463088746564028,0.010708020202299724
ATHC,23006,27.150850126054074,0.8225796556323478,0.005423222296671959,0.010629879652209108
HTAC,23005,29.471068724190392,0.4732486042782997,0.0031201697567726032,0.006115742130867457
HTHC,22995,29.595664318330073,0.4592980682361757,0.0030288510174645775,0.005936751408895656
