	Mcap.protein	Pocillopora_acuta_PredGenes_experimental_v1.transcripts.pep
Number of genes	63227	52917
Number of genes in orthogroups	57587	44708
Number of unassigned genes	5640	8209
Percentage of genes in orthogroups	91.1	84.5
Percentage of unassigned genes	8.9	15.5
Number of orthogroups containing species	18237	18463
Percentage of orthogroups containing species	78.7	79.7
Number of species-specific orthogroups	4714	4940
Number of genes in species-specific orthogroups	34162	19461
Percentage of genes in species-specific orthogroups	54.0	36.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	4940	4714
'1	10071	8519
'2	4186	4477
'3	993	2281
'4	600	1236
'5	387	673
'6	296	415
'7	219	235
'8	204	168
'9	137	105
'10	124	82
11-15	411	147
16-20	193	67
21-50	350	54
51-100	55	4
101-150	10	0
151-200	0	0
201-500	1	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	21.3	20.3
'1	43.5	36.8
'2	18.1	19.3
'3	4.3	9.8
'4	2.6	5.3
'5	1.7	2.9
'6	1.3	1.8
'7	0.9	1.0
'8	0.9	0.7
'9	0.6	0.5
'10	0.5	0.4
11-15	1.8	0.6
16-20	0.8	0.3
21-50	1.5	0.2
51-100	0.2	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	10071	8519
'2	8372	8954
'3	2979	6843
'4	2400	4944
'5	1935	3365
'6	1776	2490
'7	1533	1645
'8	1632	1344
'9	1233	945
'10	1240	820
11-15	5212	1857
16-20	3449	1184
21-50	10701	1524
51-100	3592	274
101-150	1240	0
151-200	0	0
201-500	222	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	15.9	16.1
'2	13.2	16.9
'3	4.7	12.9
'4	3.8	9.3
'5	3.1	6.4
'6	2.8	4.7
'7	2.4	3.1
'8	2.6	2.5
'9	2.0	1.8
'10	2.0	1.5
11-15	8.2	3.5
16-20	5.5	2.2
21-50	16.9	2.9
51-100	5.7	0.5
101-150	2.0	0.0
151-200	0.0	0.0
201-500	0.4	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
