file	free	dip	tri	tet	d_dip	d_tri	d_tet
Mcapitata_ATAC_TP10_1095.bin	74233.090144	68753.157502	52144.524069	45408.092931	5479.932642	22088.566075	28824.997214
Mcapitata_ATAC_TP10_1095.denoise.bin	79178.927417	78652.967537	39069.772125	39939.896613	525.959880	40109.155292	39239.030804
Mcapitata_ATAC_TP10_1561.bin	118866.755783	109100.522882	83363.094857	72940.446989	9766.232902	35503.660927	45926.308795
Mcapitata_ATAC_TP10_1561.denoise.bin	124257.844119	123401.823090	58991.293968	62782.177153	856.021029	65266.550151	61475.666966
Mcapitata_ATAC_TP10_1631.bin	86473.847753	79747.892931	60289.740701	52716.063691	6725.954822	26184.107052	33757.784062
Mcapitata_ATAC_TP10_1631.denoise.bin	91488.571110	90769.998814	43300.358896	46006.031485	718.572295	48188.212213	45482.539624
Mcapitata_ATAC_TP1_1037.bin	152223.760394	137735.347241	106616.260385	94235.751327	14488.413153	45607.500009	57988.009067
Mcapitata_ATAC_TP1_1037.denoise.bin	153663.405568	152764.085162	70246.309451	78991.853835	899.320406	83417.096117	74671.551733
Mcapitata_ATAC_TP11_1076.bin	145071.760150	133242.202032	98914.622979	88180.073684	11829.558118	46157.137171	56891.686466
Mcapitata_ATAC_TP11_1076.denoise.bin	153267.030533	152374.810219	69699.506474	78589.056348	892.220314	83567.524059	74677.974186
Mcapitata_ATAC_TP11_1644.bin	87565.889696	67292.354832	68770.160198	64702.234699	20273.534865	18795.729499	22863.654997
Mcapitata_ATAC_TP11_1644.denoise.bin	54875.060255	52415.195187	29091.898480	29514.092083	2459.865068	25783.161776	25360.968172
Mcapitata_ATAC_TP11_2302.bin	145998.019615	134558.209429	98586.888264	88321.459082	11439.810186	47411.131351	57676.560534
Mcapitata_ATAC_TP11_2302.denoise.bin	156040.985235	155227.042568	70667.353381	79964.391204	813.942666	85373.631853	76076.594031
Mcapitata_ATAC_TP1_1600.bin	61648.655099	57291.763091	43246.785215	37496.625671	4356.892008	18401.869884	24152.029428
Mcapitata_ATAC_TP1_1600.denoise.bin	65803.989361	65257.693067	32487.444148	32949.777158	546.296295	33316.545213	32854.212203
Mcapitata_ATAC_TP1_1652.bin	152159.429599	138579.629663	104108.642320	93309.795580	13579.799935	48050.787279	58849.634019
Mcapitata_ATAC_TP1_1652.denoise.bin	158223.540789	157290.545390	70449.166809	81565.025109	932.995399	87774.373980	76658.515680
Mcapitata_ATAC_TP12_1120.bin	133835.915025	122906.261242	92205.215746	81599.580969	10929.653783	41630.699278	52236.334056
Mcapitata_ATAC_TP12_1120.denoise.bin	140039.611898	139044.401378	64568.242166	71443.092214	995.210519	75471.369732	68596.519683
Mcapitata_ATAC_TP12_1452.bin	153833.705687	141791.929894	103291.101875	92680.552699	12041.775793	50542.603812	61153.152988
Mcapitata_ATAC_TP12_1452.denoise.bin	164502.323632	163757.291064	73580.048179	84397.168377	745.032567	90922.275452	80105.155255
Mcapitata_ATAC_TP12_2403.bin	157204.301832	144030.835592	106857.465603	95341.332393	13173.466241	50346.836229	61862.969439
Mcapitata_ATAC_TP12_2403.denoise.bin	165422.676553	164460.576254	74483.396750	84795.574032	962.100299	90939.279803	80627.102521
Mcapitata_ATAC_TP3_1101.bin	172566.213207	157574.123942	116711.807620	105155.284678	14992.089265	55854.405586	67410.928529
Mcapitata_ATAC_TP3_1101.denoise.bin	180658.092790	179837.962005	79322.651158	93645.454652	820.130785	101335.441631	87012.638138
Mcapitata_ATAC_TP3_1548.bin	134783.569748	123168.863710	93226.544671	82301.467713	11614.706038	41557.025077	52482.102035
Mcapitata_ATAC_TP3_1548.denoise.bin	139298.722897	138447.880603	63391.757573	71228.239413	850.842294	75906.965324	68070.483484
Mcapitata_ATAC_TP3_1628.bin	151643.179887	136109.060744	106795.309453	94552.748524	15534.119142	44847.870433	57090.431363
Mcapitata_ATAC_TP3_1628.denoise.bin	148523.781423	147628.966235	67117.959147	77087.561242	894.815187	81405.822276	71436.220180
Mcapitata_ATAC_TP4_1108.bin	161704.872035	148201.758358	108270.848776	97771.630604	13503.113678	53434.023260	63933.241431
Mcapitata_ATAC_TP4_1108.denoise.bin	171983.412288	171258.929395	75776.311819	89172.687797	724.482893	96207.100469	82810.724492
