file	free	dip	tri	tet	d_dip	d_tri	d_tet
Pacuta_ATAC_TP4_2002.bin	259230.024394	160998.638103	244871.232100	198659.925653	98231.386292	14358.792295	60570.098742
Pacuta_ATAC_TP4_2002.denoise.bin	193774.944388	93885.998959	187457.269568	120983.411466	99888.945429	6317.674820	72791.532922
Pacuta_ATAC_TP5_1059.bin	178528.008614	166426.445926	118966.874190	105686.640608	12101.562688	59561.134424	72841.368006
Pacuta_ATAC_TP5_1059.denoise.bin	193566.085760	192380.357270	88866.171191	98216.023004	1185.728490	104699.914568	95350.062756
Pacuta_ATAC_TP5_1563.bin	254063.008874	158237.225815	240212.573141	194201.614294	95825.783059	13850.435734	59861.394580
Pacuta_ATAC_TP5_1563.denoise.bin	190616.508521	92936.934396	184908.866655	118820.613442	97679.574125	5707.641866	71795.895079
Pacuta_ATAC_TP5_1757.bin	162919.297155	103353.324391	152668.052663	126890.779423	59565.972763	10251.244492	36028.517732
Pacuta_ATAC_TP5_1757.denoise.bin	73053.763324	25739.120827	60729.399952	34020.442824	47314.642497	12324.363372	39033.320500
Pacuta_ATAC_TP6_1050.bin	177009.678396	166375.069001	116735.439401	103586.075479	10634.609395	60274.238995	73423.602916
Pacuta_ATAC_TP6_1050.denoise.bin	194333.396000	192716.727479	90384.073585	97617.067278	1616.668521	103949.322415	96716.328722
Pacuta_ATAC_TP6_1468.bin	246359.025069	230709.646522	159698.807759	144293.969194	15649.378547	86660.217310	102065.055875
Pacuta_ATAC_TP6_1468.denoise.bin	270220.858845	268594.443623	121178.768980	137685.610522	1626.415223	149042.089865	132535.248323
Pacuta_ATAC_TP6_1542.bin	182555.157311	116260.891930	170554.648168	141849.166869	66294.265380	12000.509143	40705.990442
Pacuta_ATAC_TP6_1542.denoise.bin	77280.954002	26067.656228	65670.954038	36824.416459	51213.297774	11609.999964	40456.537543
Pacuta_ATAC_TP7_1047.bin	202607.996491	190096.573532	133405.668862	118770.951101	12511.422958	69202.327628	83837.045390
Pacuta_ATAC_TP7_1047.denoise.bin	222497.469423	220525.570441	101664.748415	111759.092315	1971.898983	120832.721008	110738.377108
Pacuta_ATAC_TP7_1445.bin	264806.504920	247422.462059	170684.244379	155604.020676	17384.042861	94122.260540	109202.484244
Pacuta_ATAC_TP7_1445.denoise.bin	291083.769608	289617.867328	128088.924193	148997.443113	1465.902280	162994.845415	142086.326495
Pacuta_ATAC_TP7_2413.bin	178502.966429	112311.176717	167906.503794	138358.369159	66191.789712	10596.462635	40144.597269
Pacuta_ATAC_TP7_2413.denoise.bin	80456.416432	27000.393436	69343.662382	37718.306385	53456.022996	11112.754050	42738.110047
Pacuta_ATAC_TP8_1051.bin	174490.274717	111473.445361	163575.660990	135790.553844	63016.829357	10914.613727	38699.720873
Pacuta_ATAC_TP8_1051.denoise.bin	74973.231339	26748.763965	63099.283859	34151.763991	48224.467374	11873.947479	40821.467348
Pacuta_ATAC_TP8_1755.bin	159797.238759	150225.903072	106357.849687	93763.064128	9571.335687	53439.389073	66034.174631
Pacuta_ATAC_TP8_1755.denoise.bin	176014.736858	174385.247080	82512.336675	87930.895367	1629.489778	93502.400182	88083.841491
Pacuta_ATAC_TP8_2012.bin	149672.272360	94626.927956	140014.184167	118406.737167	55045.344404	9658.088194	31265.535193
Pacuta_ATAC_TP8_2012.denoise.bin	59137.979423	20924.631376	48248.194275	26101.266165	38213.348047	10889.785148	33036.713258
Pacuta_ATAC_TP9_1141.bin	165028.071297	155801.556523	108413.268888	96201.186674	9226.514773	56614.802409	68826.884623
Pacuta_ATAC_TP9_1141.denoise.bin	181930.719025	180424.878046	85850.033431	91366.982314	1505.840979	96080.685593	90563.736710
Pacuta_ATAC_TP9_1594.bin	144808.237700	92486.151198	135097.346719	112849.035316	52322.086502	9710.890981	31959.202384
Pacuta_ATAC_TP9_1594.denoise.bin	61072.880241	22438.301198	50161.909146	29161.091934	38634.579043	10910.971095	31911.788307
Pacuta_ATAC_TP9_2357.bin	140383.952803	88720.980799	131476.760524	110756.642081	51662.972004	8907.192279	29627.310722
Pacuta_ATAC_TP9_2357.denoise.bin	54508.002609	19308.555166	44171.814057	24217.208072	35199.447443	10336.188552	30290.794537
Pacuta_ATHC_TP10_1205.bin	133010.336040	124626.751815	89736.348150	79146.103708	8383.584225	43273.987890	53864.232333
Pacuta_ATHC_TP10_1205.denoise.bin	145127.195968	143979.861398	69568.737756	73034.756655	1147.334569	75558.458212	72092.439313
Pacuta_ATHC_TP10_2197.bin	158431.892147	149059.951453	104408.209364	92823.521228	9371.940694	54023.682783	65608.370918
Pacuta_ATHC_TP10_2197.denoise.bin	172739.050942	171455.411584	81376.259491	87377.167995	1283.639357	91362.791450	85361.882947
Pacuta_ATHC_TP10_2550.bin	205679.496388	192562.072857	136737.508475	121229.888138	13117.423531	68941.987913	84449.608250
Pacuta_ATHC_TP10_2550.denoise.bin	223909.306087	222383.103686	104013.835172	113014.368563	1526.202400	119895.470914	110894.937524
Pacuta_ATHC_TP11_1147.bin	253616.135547	155514.250406	240119.171610	192516.637116	98101.885141	13496.963938	61099.498431
Pacuta_ATHC_TP11_1147.denoise.bin	195969.981598	91753.659250	189945.288339	121272.585847	104216.322349	6024.693259	74697.395751
Pacuta_ATHC_TP1_1207.bin	255519.541843	238023.029200	168698.357730	151305.812540	17496.512643	86821.184114	104213.729303
Pacuta_ATHC_TP1_1207.denoise.bin	277148.230484	275634.824318	124646.393091	141223.109832	1513.406166	152501.837393	135925.120653
Pacuta_ATHC_TP11_2668.bin	236336.494218	220987.845540	154919.742815	139451.576278	15348.648679	81416.751404	96884.917940
Pacuta_ATHC_TP11_2668.denoise.bin	259326.055957	257931.701933	118210.443359	131949.159412	1394.354024	141115.612597	127376.896544
Pacuta_ATHC_TP11_2879.bin	217007.419620	204079.433147	141621.304397	126458.576242	12927.986473	75386.115223	90548.843378
Pacuta_ATHC_TP11_2879.denoise.bin	238281.615972	236504.272070	109190.775545	120172.067749	1777.343902	129090.840427	118109.548223
Pacuta_ATHC_TP1_2743.bin	145393.125349	93436.187137	135779.688087	114430.695391	51956.938211	9613.437262	30962.429958
Pacuta_ATHC_TP1_2743.denoise.bin	53411.444869	19748.260990	43265.284402	22545.699218	33663.183879	10146.160466	30865.745651
Pacuta_ATHC_TP1_2977.bin	189025.846919	175626.668083	128605.725957	112515.969144	13399.178836	60420.120961	76509.877775
Pacuta_ATHC_TP1_2977.denoise.bin	201490.161911	199744.625332	93637.691009	101249.558835	1745.536579	107852.470902	100240.603076
Pacuta_ATHC_TP3_1219.bin	156829.729576	146960.605411	105482.760218	92825.053981	9869.124165	51346.969358	64004.675594
Pacuta_ATHC_TP3_1219.denoise.bin	171232.102359	169928.592527	80622.176901	85954.083209	1303.509832	90609.925458	85278.019150
Pacuta_ATHC_TP3_2534.bin	235163.977844	144172.216269	222459.321958	181564.906124	90991.761575	12704.655886	53599.071720
Pacuta_ATHC_TP3_2534.denoise.bin	177148.129582	84852.266826	170986.477797	112207.521909	92295.862756	6161.651785	64940.607674
Pacuta_ATHC_TP3_2750.bin	259540.378666	160727.746073	246020.716602	198099.823210	98812.632593	13519.662064	61440.555456
Pacuta_ATHC_TP3_2750.denoise.bin	199442.164149	97530.946935	193430.428429	124129.277877	101911.217214	6011.735720	75312.886272
Pacuta_ATHC_TP4_1220.bin	175564.224954	109132.536041	163524.959627	140247.490463	66431.688913	12039.265327	35316.734491
Pacuta_ATHC_TP4_1220.denoise.bin	65763.742167	20232.916281	52783.433186	30969.733003	45530.825885	12980.308981	34794.009164
Pacuta_ATHC_TP4_2733.bin	260025.263505	161583.936439	242253.748690	203814.288130	98441.327065	17771.514814	56210.975374
Pacuta_ATHC_TP4_2733.denoise.bin	113565.116333	31050.078475	98130.594954	57934.435498	82515.037858	15434.521379	55630.680836
Pacuta_ATHC_TP4_2993.bin	130373.529955	122489.149802	88392.170604	77201.737367	7884.380153	41981.359351	53171.792588
Pacuta_ATHC_TP4_2993.denoise.bin	142717.289972	141084.703704	68191.902905	70921.722098	1632.586268	74525.387067	71795.567874
Pacuta_ATHC_TP5_1296.bin	138283.794944	129767.787870	93953.076359	81863.972205	8516.007074	44330.718585	56419.822740
Pacuta_ATHC_TP5_1296.denoise.bin	150958.209164	149431.516760	72509.331652	75109.944337	1526.692404	78448.877513	75848.264827
Pacuta_ATHC_TP5_2212.bin	248589.442023	232786.045732	160712.838645	145411.449820	15803.396291	87876.603378	103177.992204
Pacuta_ATHC_TP5_2212.denoise.bin	271831.468936	270550.165529	122775.849430	139041.043851	1281.303408	149055.619506	132790.425085
Pacuta_ATHC_TP5_2877.bin	185356.385453	117299.441114	173673.779870	145537.285180	68056.944339	11682.605583	39819.100274
Pacuta_ATHC_TP5_2877.denoise.bin	82306.213123	29731.647279	68073.805847	38165.403248	52574.565844	14232.407276	44140.809875
Pacuta_ATHC_TP6_1254.bin	189334.705194	111328.796437	172947.809537	158473.130543	78005.908757	16386.895658	30861.574652
Pacuta_ATHC_TP6_1254.denoise.bin	73768.151631	19723.713826	58162.084429	48426.820613	54044.437805	15606.067202	25341.331018
Pacuta_ATHC_TP6_2870.bin	166009.880192	104393.011045	156186.813069	129509.406733	61616.869148	9823.067123	36500.473460
Pacuta_ATHC_TP6_2870.denoise.bin	75743.588605	25963.102118	65005.634472	35463.941438	49780.486487	10737.954133	40279.647167
Pacuta_ATHC_TP6_2999.bin	151580.491708	142014.502992	101671.668412	89466.945399	9565.988716	49908.823295	62113.546308
Pacuta_ATHC_TP6_2999.denoise.bin	164939.645275	163609.949030	77685.286278	82688.435376	1329.696245	87254.358997	82251.209898
Pacuta_ATHC_TP7_1281.bin	220104.632326	207039.398225	140584.342917	128483.537607	13065.234101	79520.289409	91621.094720
Pacuta_ATHC_TP7_1281.denoise.bin	244147.388102	242221.152065	108394.349642	124272.947351	1926.236037	135753.038460	119874.440751
Pacuta_ATHC_TP7_2409.bin	203884.891035	129745.202474	191591.136853	157213.734423	74139.688561	12293.754182	46671.156612
Pacuta_ATHC_TP7_2409.denoise.bin	90552.159354	30467.441849	79611.155205	42134.913581	60084.717504	10941.004148	48417.245773
Pacuta_ATHC_TP7_2878.bin	214146.184005	134394.740737	201880.076981	164588.800719	79751.443268	12266.107024	49557.383286
Pacuta_ATHC_TP7_2878.denoise.bin	101070.287937	31381.440650	89648.191384	46699.930209	69688.847287	11422.096553	54370.357728
Pacuta_ATHC_TP8_1459.bin	161448.959735	102546.637172	150834.626481	125887.763826	58902.322562	10614.333253	35561.195909
Pacuta_ATHC_TP8_1459.denoise.bin	60887.090052	19054.035117	49020.068490	26838.778815	41833.054935	11867.021562	34048.311238
Pacuta_ATHC_TP8_2564.bin	260658.721572	161201.678395	245777.782764	199906.336052	99457.043177	14880.938808	60752.385520
Pacuta_ATHC_TP8_2564.denoise.bin	192425.895725	90893.459206	185326.302918	120677.984470	101532.436519	7099.592807	71747.911255
Pacuta_ATHC_TP8_2861.bin	189831.768603	178464.291297	126034.002193	111433.051791	11367.477306	63797.766410	78398.716811
Pacuta_ATHC_TP8_2861.denoise.bin	208875.833423	207011.337264	97685.418485	104583.960654	1864.496159	111190.414938	104291.872769
Pacuta_ATHC_TP9_1451.bin	149685.955524	93941.909267	140391.151917	117753.898267	55744.046258	9294.803607	31932.057257
Pacuta_ATHC_TP9_1451.denoise.bin	67976.453797	24065.136068	56337.729405	31949.227262	43911.317729	11638.724392	36027.226535
Pacuta_ATHC_TP9_2873.bin	130890.988309	82832.319764	122404.016933	103858.689939	48058.668546	8486.971376	27032.298371
Pacuta_ATHC_TP9_2873.denoise.bin	50536.828621	19421.743012	40734.562358	22505.958334	31115.085609	9802.266263	28030.870286
Pacuta_ATHC_TP9_2979.bin	154761.341668	145699.779387	103805.419986	91246.552131	9061.562281	50955.921682	63514.789537
Pacuta_ATHC_TP9_2979.denoise.bin	169216.391438	167755.429216	81053.636294	84817.178543	1460.962222	88162.755144	84399.212895
Pacuta_HTAC_TP10_1225.bin	105853.004193	99373.132536	71927.142038	62674.176381	6479.871657	33925.862155	43178.827812
Pacuta_HTAC_TP10_1225.denoise.bin	115327.105807	114075.225846	55213.343902	57359.091693	1251.879961	60113.761905	57968.014114
Pacuta_HTAC_TP10_1536.bin	159299.695871	101400.441749	149173.300019	124310.054012	57899.254122	10126.395852	34989.641859
Pacuta_HTAC_TP10_1536.denoise.bin	68145.063102	24801.085534	57156.007333	31636.413139	43343.977568	10989.055769	36508.649963
Pacuta_HTAC_TP10_2064.bin	182618.196607	115770.590760	171601.598204	142232.482609	66847.605847	11016.598403	40385.713998
Pacuta_HTAC_TP10_2064.denoise.bin	80120.165749	27762.258858	69386.820988	37002.576377	52357.906891	10733.344761	43117.589372
Pacuta_HTAC_TP11_1582.bin	261481.951011	162107.275677	247551.210429	198564.075474	99374.675334	13930.740582	62917.875537
Pacuta_HTAC_TP11_1582.denoise.bin	200423.101268	96744.873344	194304.703610	123446.684218	103678.227923	6118.397658	76976.417050
Pacuta_HTAC_TP11_1596.bin	265818.483887	163988.864941	252239.405046	200797.457901	101829.618946	13579.078841	65021.025986
Pacuta_HTAC_TP11_1596.denoise.bin	209328.005418	100886.070105	203398.030638	127987.803794	108441.935312	5929.974780	81340.201624
Pacuta_HTAC_TP11_1647.bin	215442.421429	134693.915228	202631.697409	166657.364630	80748.506201	12810.724020	48785.056799
Pacuta_HTAC_TP11_1647.denoise.bin	102656.369353	29856.479825	91456.919464	47102.109212	72799.889528	11199.449889	55554.260142
Pacuta_HTAC_TP1_1653.bin	215423.289198	189017.203005	155420.614524	138686.820812	26406.086194	60002.674674	76736.468386
Pacuta_HTAC_TP1_1653.denoise.bin	201148.069022	199313.397804	92934.819210	106318.010894	1834.671218	108213.249812	94830.058128
Pacuta_HTAC_TP1_2005.bin	150164.892367	96200.105672	140208.684931	117787.146719	53964.786695	9956.207436	32377.745647
Pacuta_HTAC_TP1_2005.denoise.bin	54425.868154	19215.908418	44913.324270	24097.699558	35209.959736	9512.543884	30328.168596
Pacuta_HTAC_TP1_2414.bin	233135.948894	145104.636842	219648.658686	179677.638148	88031.312052	13487.290208	53458.310746
Pacuta_HTAC_TP1_2414.denoise.bin	971204.024845	31850.407377	100371.375633	51701.183616	939353.617469	870832.649213	919502.841229
Pacuta_HTAC_TP3_1617.bin	145185.292852	92527.656763	135910.149398	113291.938223	52657.636090	9275.143455	31893.354630
Pacuta_HTAC_TP3_1617.denoise.bin	56199.216728	18334.060119	45543.617679	24016.749108	37865.156609	10655.599049	32182.467620
Pacuta_HTAC_TP3_1642.bin	180367.392228	113157.059140	169022.958384	138963.286864	67210.333088	11344.433844	41404.105364
Pacuta_HTAC_TP3_1642.denoise.bin	82160.224722	23399.823402	71702.524928	39799.194175	58760.401320	10457.699794	42361.030547
Pacuta_HTAC_TP3_2026.bin	157793.512808	147943.623767	105436.766293	92901.321812	9849.889041	52356.746515	64892.190997
Pacuta_HTAC_TP3_2026.denoise.bin	171369.010231	169737.216054	80810.287177	86054.340656	1631.794177	90558.723054	85314.669575
Pacuta_HTAC_TP4_1581.bin	266978.795334	166234.435985	251319.312081	206204.884344	100744.359349	15659.483253	60773.910990
Pacuta_HTAC_TP4_1581.denoise.bin	126964.283281	36053.636210	111007.252420	60191.584338	90910.647070	15957.030860	66772.698942
Pacuta_HTAC_TP4_1701.bin	267211.155874	166215.206004	252122.810015	205403.417121	100995.949870	15088.345859	61807.738752
Pacuta_HTAC_TP4_1701.denoise.bin	131317.833322	37022.828406	117585.091396	59146.970119	94295.004917	13732.741927	72170.863203
Pacuta_HTAC_TP4_1767.bin	185527.753090	117930.974108	174225.952962	143274.508082	67596.778982	11301.800128	42253.245008
Pacuta_HTAC_TP4_1767.denoise.bin	82116.797005	28309.374085	70961.016352	38180.643686	53807.422920	11155.780652	43936.153319
Pacuta_HTAC_TP5_1303.bin	154117.596259	144511.573649	104153.751943	90922.901534	9606.022609	49963.844316	63194.694724
Pacuta_HTAC_TP5_1303.denoise.bin	166726.568055	165223.843846	79780.752733	83555.366322	1502.724208	86945.815322	83171.201733
Pacuta_HTAC_TP5_1571.bin	222895.805035	208383.264889	146168.355701	131285.227318	14512.540146	76727.449334	91610.577717
Pacuta_HTAC_TP5_1571.denoise.bin	242506.390769	240786.628044	110446.700969	123395.243328	1719.762725	132059.689800	119111.147441
Pacuta_HTAC_TP5_1707.bin	242742.670342	148816.154793	228636.176046	188046.140918	93926.515549	14106.494296	54696.529424
Pacuta_HTAC_TP5_1707.denoise.bin	122239.653798	32947.197638	106916.965349	57760.105630	89292.456160	15322.688449	64479.548168
Pacuta_HTAC_TP6_1330.bin	105718.406014	99226.876766	72753.651166	63020.815277	6491.529248	32964.754848	42697.590737
Pacuta_HTAC_TP6_1330.denoise.bin	114557.612171	113145.843823	55998.320411	56836.979755	1411.768349	58559.291760	57720.632417
Pacuta_HTAC_TP6_1466.bin	161993.654367	102999.733905	151898.837006	126626.161852	58993.920462	10094.817361	35367.492515
Pacuta_HTAC_TP6_1466.denoise.bin	70319.000384	26360.231486	59997.474875	32942.888477	43958.768898	10321.525509	37376.111907
Pacuta_HTAC_TP6_1744.bin	187156.197481	176029.611894	122753.158068	109335.750712	11126.585588	64403.039413	77820.446770
Pacuta_HTAC_TP6_1744.denoise.bin	206388.800499	204661.034182	94894.053859	103705.353298	1727.766317	111494.746640	102683.447201
Pacuta_HTAC_TP7_1487.bin	178576.996132	167343.349269	118741.877140	104948.848702	11233.646863	59835.118993	73628.147430
Pacuta_HTAC_TP7_1487.denoise.bin	195959.682740	194296.847860	90596.160080	98152.201067	1662.834880	105363.522660	97807.481673
Pacuta_HTAC_TP7_1728.bin	223248.857142	138028.643961	209936.051623	173009.177858	85220.213181	13312.805519	50239.679284
Pacuta_HTAC_TP7_1728.denoise.bin	108445.990226	31364.085326	94783.613152	51704.644872	77081.904900	13662.377074	56741.345353
Pacuta_HTAC_TP7_2072.bin	150891.420095	96306.439746	140832.049373	117111.863738	54584.980349	10059.370723	33779.556357
Pacuta_HTAC_TP7_2072.denoise.bin	63808.988112	22339.141043	53250.372562	30231.205832	41469.847068	10558.615549	33577.782280
Pacuta_HTAC_TP8_1329.bin	294883.002427	275317.101588	188277.268628	172944.452123	19565.900839	106605.733799	121938.550303
Pacuta_HTAC_TP8_1329.denoise.bin	324003.876600	322575.529478	140398.015505	167055.203255	1428.347122	183605.861095	156948.673345
Pacuta_HTAC_TP8_1765.bin	120553.312588	77742.144197	112574.315911	94519.844956	42811.168391	7978.996677	26033.467632
Pacuta_HTAC_TP8_1765.denoise.bin	45248.069354	17165.168652	35505.944658	18884.726334	28082.900702	9742.124696	26363.343021
Pacuta_HTAC_TP8_2513.bin	158736.927834	100435.932365	149035.847139	123164.708326	58300.995469	9701.080695	35572.219509
Pacuta_HTAC_TP8_2513.denoise.bin	72667.521699	25305.947923	61297.220585	33452.358763	47361.573776	11370.301115	39215.162936
Pacuta_HTAC_TP9_1302.bin	188208.594108	175355.702015	125049.414366	111147.498579	12852.892093	63159.179742	77061.095529
Pacuta_HTAC_TP9_1302.denoise.bin	202651.739861	201124.735496	91491.058839	102594.209446	1527.004365	111160.681022	100057.530415
Pacuta_HTAC_TP9_1486.bin	162661.077015	152537.273482	108576.228940	95674.912623	10123.803533	54084.848075	66986.164392
Pacuta_HTAC_TP9_1486.denoise.bin	176961.691164	175318.439414	82438.660548	88635.335424	1643.251750	94523.030616	88326.355740
Pacuta_HTAC_TP9_1696.bin	320172.333825	195007.894903	302367.780032	246271.901234	125164.438922	17804.553793	73900.432590
Pacuta_HTAC_TP9_1696.denoise.bin	241676.854148	109887.094218	233342.156963	152353.218059	131789.759930	8334.697185	89323.636089
Pacuta_HTHC_TP10_1238.bin	179241.771979	114181.294974	168021.990767	139070.154821	65060.477005	11219.781212	40171.617158
Pacuta_HTHC_TP10_1238.denoise.bin	79261.417542	27813.505500	67448.710079	36207.149239	51447.912041	11812.707463	43054.268303
Pacuta_HTHC_TP10_1732.bin	163242.999405	107016.020297	152543.105870	126164.564865	56226.979108	10699.893535	37078.434540
Pacuta_HTHC_TP10_1732.denoise.bin	64271.148356	27967.794880	54656.675299	29362.293470	36303.353476	9614.473057	34908.854885
Pacuta_HTHC_TP10_2300.bin	175522.081015	109994.187317	164562.768219	138075.671064	65527.893698	10959.312796	37446.409951
Pacuta_HTHC_TP10_2300.denoise.bin	78393.734082	26723.127601	65383.614310	37040.856113	51670.606481	13010.119772	41352.877969
Pacuta_HTHC_TP11_1416.bin	218908.488123	206306.829692	140656.562055	126949.110630	12601.658431	78251.926068	91959.377493
Pacuta_HTHC_TP11_1416.denoise.bin	240991.604213	239531.795286	109352.124609	122515.238846	1459.808927	131639.479604	118476.365367
Pacuta_HTHC_TP11_2185.bin	270199.429365	174311.989559	254530.500351	204108.869209	95887.439806	15668.929014	66090.560156
Pacuta_HTHC_TP11_2185.denoise.bin	123417.696989	40453.464890	110804.229094	53407.949104	82964.232099	12613.467895	70009.747884
Pacuta_HTHC_TP1_1239.bin	169253.134256	107876.748378	158907.591135	130994.772326	61376.385878	10345.543121	38258.361930
Pacuta_HTHC_TP1_1239.denoise.bin	72661.527966	25969.384346	62664.089882	33959.631584	46692.143620	9997.438083	38701.896382
Pacuta_HTHC_TP1_1676.bin	121590.180612	112673.299816	84765.276994	73527.623165	8916.880796	36824.903619	48062.557447
Pacuta_HTHC_TP1_1676.denoise.bin	127362.932106	126381.023680	62419.238315	64412.102979	981.908426	64943.693791	62950.829126
Pacuta_HTHC_TP1_2210.bin	237081.536884	216166.030842	161334.281166	144196.965591	20915.506043	75747.255718	92884.571293
Pacuta_HTHC_TP1_2210.denoise.bin	244275.443535	243111.145069	109914.185435	127055.378842	1164.298466	134361.258100	117220.064693
Pacuta_HTHC_TP3_1227.bin	187378.352128	118020.622996	176465.374824	145218.462287	69357.729132	10912.977305	42159.889841
Pacuta_HTHC_TP3_1227.denoise.bin	85193.914414	29022.299090	74447.883195	39441.864361	56171.615324	10746.031220	45752.050053
Pacuta_HTHC_TP3_1418.bin	128534.743869	119543.891260	88530.442683	76759.554510	8990.852609	40004.301186	51775.189359
Pacuta_HTHC_TP3_1418.denoise.bin	137974.090777	136721.679189	65056.514514	68711.655703	1252.411588	72917.576263	69262.435074
Pacuta_HTHC_TP3_2527.bin	149915.085910	140374.059985	100912.512761	88654.163630	9541.025925	49002.573149	61260.922281
Pacuta_HTHC_TP3_2527.denoise.bin	161967.936178	160610.431059	76157.605487	81127.857009	1357.505118	85810.330691	80840.079169
Pacuta_HTHC_TP4_1169.bin	214562.290375	198308.866907	144695.529135	128177.663434	16253.423468	69866.761239	86384.626941
Pacuta_HTHC_TP4_1169.denoise.bin	226577.786924	225321.052683	103355.911008	115584.912850	1256.734240	123221.875916	110992.874074
Pacuta_HTHC_TP4_1343.bin	195270.567581	124580.775902	183946.638357	149812.392123	70689.791678	11323.929223	45458.175458
Pacuta_HTHC_TP4_1343.denoise.bin	85652.664466	28525.809931	77787.179754	39277.840436	57126.854535	7865.484712	46374.824030
Pacuta_HTHC_TP4_2195.bin	228336.754485	142837.197187	214276.890927	176193.492560	85499.557298	14059.863558	52143.261924
Pacuta_HTHC_TP4_2195.denoise.bin	107568.502127	30772.065408	93728.212371	50682.982588	76796.436719	13840.289755	56885.519539
Pacuta_HTHC_TP5_1168.bin	185043.492014	173623.518636	123486.372215	108896.776066	11419.973378	61557.119799	76146.715947
Pacuta_HTHC_TP5_1168.denoise.bin	201689.414761	200104.847906	94955.728002	101322.281871	1584.566855	106733.686759	100367.132890
Pacuta_HTHC_TP5_1415.bin	168292.179409	155674.351572	114814.518363	101057.895661	12617.827837	53477.661046	67234.283747
Pacuta_HTHC_TP5_1415.denoise.bin	178000.067677	176658.406733	82520.795335	90044.663448	1341.660944	95479.272342	87955.404229
