file	free	dip	tri	tet	d_dip	d_tri	d_tet
P2185.bin	25200437.924728	17984903.345260	23350019.151358	18009048.150545	7215534.579468	1850418.773370	7191389.774183
P2185.denoise.bin	113226149.738754	4153982.261032	8746268.899199	3477115.753943	109072167.477721	104479880.839555	109749033.984811
Pacuta_ATAC_TP10_1159.bin	138722.277336	130892.951979	93186.092776	81142.297025	7829.325357	45536.184561	57579.980311
Pacuta_ATAC_TP10_1159.denoise.bin	151951.325803	150199.553472	73018.859009	75251.879242	1751.772331	78932.466794	76699.446561
Pacuta_ATAC_TP10_1559.bin	165131.696167	106201.294083	154964.771122	127986.374884	58930.402084	10166.925046	37145.321283
Pacuta_ATAC_TP10_1559.denoise.bin	72105.321662	26925.221363	61170.153187	32443.631239	45180.100299	10935.168475	39661.690423
Pacuta_ATAC_TP10_1641.bin	138743.153842	89508.125402	129806.043141	108366.439242	49235.028440	8937.110701	30376.714600
Pacuta_ATAC_TP10_1641.denoise.bin	57501.805052	23065.572526	47055.638463	26293.698260	34436.232526	10446.166588	31208.106792
Pacuta_ATAC_TP1_1043.bin	190283.956593	121942.639052	177726.287863	147223.992668	68341.317542	12557.668730	43059.963925
Pacuta_ATAC_TP1_1043.denoise.bin	79366.022055	27515.945990	67527.538088	36961.759322	51850.076065	11838.483967	42404.262733
Pacuta_ATAC_TP11_1103.bin	130871.023976	82035.621346	122549.607633	103542.422159	48835.402630	8321.416343	27328.601816
Pacuta_ATAC_TP11_1103.denoise.bin	55351.235883	21698.057475	46801.424689	27527.590350	33653.178408	8549.811194	27823.645532
Pacuta_ATAC_TP11_1777.bin	187596.065906	115197.412878	175499.530038	148272.475419	72398.653029	12096.535869	39323.590487
Pacuta_ATAC_TP11_1777.denoise.bin	87826.090231	25480.032778	73702.455707	43540.793822	62346.057453	14123.634524	44285.296409
Pacuta_ATAC_TP11_2306.bin	204669.580194	126490.081527	192642.771852	158264.796161	78179.498667	12026.808342	46404.784033
Pacuta_ATAC_TP11_2306.denoise.bin	974187.364132	27773.472890	88237.575323	47333.222208	946413.891243	885949.788810	926854.141924
Pacuta_ATAC_TP1_1775.bin	175291.555858	164777.958531	116796.309837	102779.525470	10513.597326	58495.246021	72512.030388
Pacuta_ATAC_TP1_1775.denoise.bin	191771.427878	189995.096516	90296.899698	96052.162082	1776.331362	101474.528180	95719.265796
Pacuta_ATAC_TP1_2363.bin	150810.797948	96607.393231	140776.817123	118265.161045	54203.404717	10033.980825	32545.636903
Pacuta_ATAC_TP1_2363.denoise.bin	55199.380900	19104.339058	45581.434183	24986.159075	36095.041842	9617.946717	30213.221825
Pacuta_ATAC_TP3_1041.bin	207872.132508	130579.631047	195160.027283	160499.951141	77292.501460	12712.105225	47372.181367
Pacuta_ATAC_TP3_1041.denoise.bin	96643.214128	29194.964981	83470.396948	45626.077264	67448.249147	13172.817180	51017.136864
Pacuta_ATAC_TP3_1471.bin	122659.381091	78919.102828	115186.853692	95608.211861	43740.278263	7472.527399	27051.169230
Pacuta_ATAC_TP3_1471.denoise.bin	55030.437541	21842.622237	45308.543834	24725.755377	33187.815305	9721.893708	30304.682164
Pacuta_ATAC_TP3_1637.bin	144010.758723	91636.662331	135356.621527	112164.070311	52374.096391	8654.137196	31846.688412
Pacuta_ATAC_TP3_1637.denoise.bin	63214.654667	23805.729849	53863.501966	29310.493685	39408.924819	9351.152702	33904.160983
Pacuta_ATAC_TP4_1060.bin	160264.832992	102111.824000	149920.586504	125636.046249	58153.008992	10344.246488	34628.786743
Pacuta_ATAC_TP4_1060.denoise.bin	71565.162802	26050.918866	59975.021211	32806.107735	45514.243936	11590.141591	38759.055067
Pacuta_ATAC_TP4_1762.bin	261925.503127	161391.491876	247435.319638	200355.542362	100534.011251	14490.183488	61569.960765
Pacuta_ATAC_TP4_1762.denoise.bin	197272.193818	92740.921698	190639.947255	123653.179793	104531.272120	6632.246563	73619.014025
